"KEY_CODE","CITYNAME","NAME","êlå˚ëçêî20","ê¢ë—êî20","êlå˚2020_20_79çŒ","êlå˚ëçêî15","êlå˚ëçêî10","êlå˚ëùå∏20_15","êlå˚ëùå∏15_10","êlå˚ëùå∏ó¶20_15","êlå˚ëùå∏ó¶15_10","çÇóÓâªó¶20","çÇóÓâªó¶15","çÇóÓâªó¶10","çÇóÓâªó¶20_15","çÇóÓâªó¶15_10","îNè≠î‰ó¶20","îNè≠î‰ó¶15","ê∂éYîNóÓêlå˚î‰ó¶20","ê∂éYîNóÓêlå˚î‰ó¶15","é∏ã∆ó¶20","é∏ã∆ó¶15","éùÇøâ∆î‰ó¶20","éùÇøâ∆î‰ó¶15","ó¨ì¸êlå˚î‰ó¶20","î_ó—ã∆î‰ó¶20","î_ó—ã∆î‰ó¶15","ëÊàÍéüéYã∆î‰ó¶20","ëÊìÒéüéYã∆î‰ó¶20","ëÊéOéüéYã∆î‰ó¶20","íj20_0_4","íj20_5_9","íj20_10_14","íj20_15_19","íj20_20_24","íj20_25_29","íj20_30_34","íj20_35_39","íj20_40_44","íj20_45_49","íj20_50_54","íj20_55_59","íj20_60_64","íj20_65_69","íj20_70_74","íj20_75_79","íj20_80_84","íj20_85_89","íj20_90_94","íj20_95_99","íj20_over100","èó20_0_4","èó20_5_9","èó20_10_14","èó20_15_19","èó20_20_24","èó20_25_29","èó20_30_34","èó20_35_39","èó20_40_44","èó20_45_49","èó20_50_54","èó20_55_59","èó20_60_64","èó20_65_69","èó20_70_74","èó20_75_79","èó20_80_84","èó20_85_89","èó20_90_94","èó20_95_99","èó20_over100","êlå˚_ëçêî_åªèZèä","êlå˚_ëçêî_à⁄ìÆÇ†ÇË.5îNëOÇÃèÌèZésãÊí¨ë∫.ïsè⁄.ÇèúÇ≠.","êlå˚_ëçêî_çëì‡Ç©ÇÁ","êlå˚_ëçêî_é©ésí¨ë∫ì‡Ç©ÇÁ","êlå˚_ëçêî_åßì‡ëºésí¨ë∫Ç©ÇÁ","êlå˚_ëçêî_ëºåßÇ©ÇÁ","êlå˚_ëçêî_çëäOÇ©ÇÁ","êlå˚_ëçêî_èoê∂éûÇ©ÇÁ","êlå˚_ëçêî_1îNñ¢ñû","êlå˚_ëçêî_1îNà»è„5îNñ¢ñû","êlå˚_ëçêî_5îNà»è„10îNñ¢ñû","êlå˚_ëçêî_10îNà»è„20îNñ¢ñû","êlå˚_ëçêî_20îNà»è„"
282210010,"é¬éRés","å‡ïûí¨",121,57,90,147,148,-26,-1,-0.17687074829932,-0.00675675675675676,0.533333333333333,0.452054794520548,0.412162162162162,0.0812785388127854,0.0398926323583857,0.0666666666666667,0.089041095890411,0.4,0.458904109589041,0.05,0,0.785714285714286,0.709677419354839,0.131578947368421,0.0175438596491228,0.0142857142857143,0.0175438596491228,0.192982456140351,0.771929824561403,0,1,0,1,1,1,1,0,4,5,5,5,0,3,7,4,5,3,2,0,0,1,2,4,0,1,0,1,4,3,4,3,7,2,8,12,9,4,5,2,0,0,99,15,15,6,6,3,0,21,3,11,6,15,57
282210020,"é¬éRés","óßí¨",111,53,68,121,138,-10,-17,-0.0826446280991736,-0.123188405797101,0.576576576576577,0.570247933884298,0.528985507246377,0.00632864269227906,0.0412624266379207,0.0630630630630631,0.00826446280991736,0.36036036036036,0.421487603305785,0.0392156862745098,0.0338983050847458,0.980769230769231,1,0.0720720720720721,0.0204081632653061,0.0175438596491228,0.0204081632653061,0.0612244897959184,0.918367346938776,0,2,1,0,1,1,3,1,2,3,1,4,5,1,6,5,4,5,1,0,0,2,1,1,0,1,3,0,1,1,1,2,6,4,5,5,6,9,11,5,1,0,103,8,8,0,6,2,0,17,0,9,9,9,67
282210030,"é¬éRés","ìåêVí¨",430,193,322,466,461,-36,5,-0.0772532188841202,0.0108459869848156,0.302107728337237,0.281720430107527,0.281995661605206,0.0203872982297096,-0.000275231497679163,0.110070257611241,0.126881720430108,0.587822014051522,0.591397849462366,0.0212765957446809,0.0203252032520325,0.822916666666667,0.897297297297297,0.121588089330025,0.0173913043478261,0.020746887966805,0.0173913043478261,0.226086956521739,0.734782608695652,4,7,11,11,5,8,9,9,13,15,13,14,13,16,20,10,4,6,3,0,0,7,8,10,7,10,11,7,12,14,21,17,23,19,15,21,7,12,7,6,2,0,354,49,49,24,12,13,0,70,16,37,49,77,155
282210040,"é¬éRés","óßí¨",191,86,136,228,233,-37,-5,-0.162280701754386,-0.0214592274678112,0.455497382198953,0.450892857142857,0.407725321888412,0.00460452505609571,0.0431675352544451,0.06282722513089,0.0982142857142857,0.481675392670157,0.450892857142857,0.0505050505050505,0.0275229357798165,0.779069767441861,0.774509803921569,0.0797872340425532,0,0,0,0.180851063829787,0.797872340425532,1,3,4,1,1,1,5,4,4,5,5,9,10,7,15,4,3,3,2,0,0,0,2,2,9,1,5,2,2,4,4,4,7,9,9,5,14,11,8,5,1,0,173,15,15,9,1,5,0,46,1,14,19,24,84
282210050,"é¬éRés","ìÏêVí¨",410,190,308,367,410,43,-43,0.11716621253406,-0.104878048780488,0.312342569269521,0.302197802197802,0.25609756097561,0.0101447670717192,0.0461002412221924,0.123425692695214,0.0741758241758242,0.564231738035264,0.623626373626374,0.0392156862745098,0.0454545454545455,0.547368421052632,0.604790419161677,0.277620396600567,0.0255102040816327,0.0285714285714286,0.0255102040816327,0.290816326530612,0.668367346938776,13,11,5,2,8,14,8,15,8,14,14,11,13,22,18,8,7,4,2,1,0,5,10,5,3,7,18,16,11,8,9,17,13,15,12,14,15,7,7,6,1,0,255,98,98,42,34,22,0,38,21,83,24,47,140
282210060,"é¬éRés","è¨êÏí¨",35,18,24,47,38,-12,9,-0.25531914893617,0.236842105263158,0.371428571428571,0.468085106382979,0.394736842105263,-0.0966565349544073,0.0733482642777156,0.0857142857142857,0.106382978723404,0.542857142857143,0.425531914893617,0.0769230769230769,0.166666666666667,0.882352941176471,0.95,0.212121212121212,0.0833333333333333,0.0666666666666667,0.0833333333333333,0.25,0.666666666666667,0,0,1,2,0,0,2,0,0,1,1,3,0,0,2,1,1,0,1,0,0,0,2,0,2,1,0,1,0,3,2,0,1,0,1,5,0,0,1,0,1,0,26,7,7,7,0,0,0,5,0,7,5,4,12
282210070,"é¬éRés","âÕå¥í¨",276,124,199,299,327,-23,-28,-0.0769230769230769,-0.0856269113149847,0.38768115942029,0.37037037037037,0.305810397553517,0.0173107890499195,0.0645599728168536,0.0797101449275362,0.111111111111111,0.532608695652174,0.518518518518518,0.0583941605839416,0.038961038961039,0.394957983193277,0.416666666666667,0.100371747211896,0.0155038759689922,0.0135135135135135,0.0155038759689922,0.263565891472868,0.682170542635659,2,5,6,10,6,2,4,3,9,8,8,12,13,10,9,8,5,6,2,0,0,2,2,5,3,8,2,5,7,6,15,6,11,9,9,16,13,14,9,5,1,0,242,27,27,21,4,2,0,25,6,23,27,56,132
282210080,"é¬éRés","âÕå¥í¨",191,92,132,212,225,-21,-13,-0.0990566037735849,-0.0577777777777778,0.413612565445026,0.389423076923077,0.382222222222222,0.0241894885219492,0.00720085470085469,0.0837696335078534,0.129807692307692,0.50261780104712,0.480769230769231,0.0194174757281553,0.0172413793103448,0.644444444444444,0.666666666666667,0.131578947368421,0.0099009900990099,0.0263157894736842,0.0099009900990099,0.287128712871287,0.693069306930693,3,2,2,5,4,2,3,3,2,5,5,10,4,8,10,9,3,4,0,0,0,4,3,2,5,3,4,1,5,7,7,7,8,6,5,4,10,14,8,4,0,0,165,25,20,12,5,3,5,39,9,16,25,14,87
282210090,"é¬éRés","ä£êVí¨",460,186,319,455,463,5,-8,0.010989010989011,-0.0172786177105832,0.37199124726477,0.363436123348018,0.306695464362851,0.00855512391675262,0.0567406589851667,0.113785557986871,0.112334801762115,0.514223194748359,0.524229074889868,0.0216450216450216,0.0565217391304348,0.67032967032967,0.707182320441989,0.183294663573086,0.0132743362831858,0.0276497695852535,0.0132743362831858,0.194690265486726,0.756637168141593,4,7,5,16,9,7,6,10,14,15,16,12,9,20,14,14,7,4,4,3,0,14,10,12,10,12,13,9,10,11,13,16,13,14,22,19,21,16,13,9,4,0,352,79,79,40,28,11,0,59,21,72,28,92,158
282210100,"é¬éRés","éRì‡í¨",140,96,98,145,175,-5,-30,-0.0344827586206897,-0.171428571428571,0.314516129032258,0.337931034482759,0.388571428571429,-0.0234149054505006,-0.0506403940886699,0.0564516129032258,0.0206896551724138,0.629032258064516,0.641379310344828,0.0142857142857143,0.0106382978723404,0.76,0.714285714285714,0.350877192982456,0,0,0,0.115942028985507,0.855072463768116,1,2,1,3,5,6,1,3,1,3,3,4,2,2,5,2,2,1,1,0,0,0,1,2,1,11,7,6,3,8,2,4,2,3,5,3,7,4,2,5,0,0,74,40,37,7,17,13,3,9,18,23,8,14,42
